parent_asin,title,raw_leaf_category,raw_category_path,raw_price,raw_store,details_department,details_color,details_material,details_brand,details_size,features_excerpt,description_excerpt,review_category,review_audience,review_color,review_material,review_brand,review_size,review_use_case,review_feature,review_data_issues,review_notes
B082BGG9J5,SpongeBob SquarePants Ladies Fashion Shirt Long Sleeve Tee,T-Shirts,"Clothing, Shoes & Jewelry > Novelty & More > Clothing > Novelty > Women > Tops & Tees > T-Shirts",,SpongeBob SquarePants,Womens,,,,,"100% Cotton Pull On closure Machine Wash ✔ SPONGEBOB SQUAREPANTS: Rep Spongebob, Gary, Patrick and the rest of the gang from Bikini Bottom. ✔ WHO LIVES IN A PINEAPPLE UNDER THE SEA?: Spongebob Squarepants. ✔ OFFICIALLY LICENSED SPONGEBOB SQ",,,,,,,,,,,
B0899B6JP7,uncinba Womens Leopard Lips Print T Shirt Plus Size Kiss Alphabet Print Short Sleeve Loose Casual Fashion Tee Tops,T-Shirts,"Clothing, Shoes & Jewelry > Women > Clothing > Tops, Tees & Blouses > T-Shirts",,Uncinba,Womens,,,,,Drawstring closure,,,,,,,,,,,
B0BQLB26JY,"Men’s Workout Core Fit Long Sleeve Shirt, Athletic Bodybuilding Long Sleeve Shirt for Men, Running Core Fit Long Sleeve Shirt",T-Shirts,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > T-Shirts",29.99,Born Tough,Mens,,,,,93 % Viscose 7% Spandex Imported Pull On closure Machine Wash [VISCOSE] - Born Tough Viscose Core Fit long-sleeve shirts for men are constructed from an original cloth made by Born Tough known as Swift fabric; Swift fabric is stitched toget,,,,,,,,,,,
B095BR27R2,Pintraces Women's Short-Sleeved Shirt Round Neck Color-Blocking Printed Bouquet Waist Casual Button T-Shirt,T-Shirts,"Clothing, Shoes & Jewelry > Women > Clothing > Tops, Tees & Blouses > T-Shirts",21.99,Pintraces,Womens,,,,,"Polyester,Cotton Pull On closure Hand Wash Only Material composition: 65% cotton + 35% polyester fiber. Lightweight, breathable, soft and comfortable to wear Design features: this round neck long-sleeved basic top is printed with color-bloc",,,,,,,,,,,
B0B64QGKPT,PUMA Men's Cat Tee,T-Shirts,"Clothing, Shoes & Jewelry > Men > Clothing > Shirts > T-Shirts",,PUMA,Mens,,,PUMA,,100% Polyester Imported No Closure closure Machine Wash,"Built from a lightweight, breathable jersey material the PUMA Heather Cat Tee features our signature dryCELL moisture wicking technology, an extended drop hem and side vents to help you make the most out of all your training activities.",,,,,,,,,,
B00SBEOLHU,Dr. Martens Women's Anissa Embroidered 14-Eye Zip Boot Black Softy 8 UK,Shoes,"Clothing, Shoes & Jewelry > Women > Shoes",,Dr. Martens,,,,,,Rubber sole,,,,,,,,,,,
B0058XF84W,"Ryka Women's Dash,Metallic Lake Blue/Chrome Silver/Steel Grey/White,US 5.5 M",Shoes,"Clothing, Shoes & Jewelry > Women > Shoes",,Ryka,,,,,,,,,,,,,,,,,
B005GO4FOW,Dr. Martens Naseby ST Work Boot,Shoes,"Clothing, Shoes & Jewelry > Men > Uniforms, Work & Safety > Shoes > Work & Utility > Shoes",,Dr. Martens,womens,,,Dr. Martens,,"100% Leather Imported Manmade sole Heel measures approximately 1.5"" Leather upper PVC outsole 3/4"" Fabric R14125001, R14125202","Dr. Martens is the stuff of legends. It all began near Munich, Germany in 1945 when Dr. Klaus Maertens injured his foot in a skiing accident in the Bavarian Alps. To make walking easier during the healing process, he designed a shoe with an",,,,,,,,,,
B07GLN2JG3,JACKSHIBO Steel Toe Work Shoes for Men Women Safety Shoes Breathable Industrial Construction Shoes Camouflage Green,Shoes,"Clothing, Shoes & Jewelry > Men > Uniforms, Work & Safety > Shoes > Work & Utility > Shoes",,JACKSHIBO,Mens,,,,,Rubber sole,,,,,,,,,,,
B0798NPXXZ,FITORY Men's Flip-Flop Thong Sandals Light Weight Beach Slippers Size 7-13 Brown,Shoes,"Clothing, Shoes & Jewelry > Men > Shoes",,FITORY,,,,,,Rubber sole,,,,,,,,,,,
B07NQC2WJG,"FARYSAYS Women's Casual Striped Ladies Short Sleeve V Neck, X-Black, Size 18.0",Westlake,"Clothing, Shoes & Jewelry > Westlake",,FARYSAYS,,,,,,Pull On closure,,,,,,,,,,,
B09BCKBMJD,Arshiner Girls Swing Dress Long Sleeve Loose Flowy Beach Casual Dresses for Kids 13-14 Years Dark Green,Westlake,"Clothing, Shoes & Jewelry > Westlake",,Arshiner,,,,,,100% Polyester Button closure,,,,,,,,,,,
B088WS4J57,Aivtalk Women's Zip Front Sport Bra Plus Size Wirefree Lace Bra Full Coverage T-Shirt Bra Green,Westlake,"Clothing, Shoes & Jewelry > Westlake",,Aivtalk,,,,,,Zipper closure,,,,,,,,,,,
B0113RCR8G,"OURS Women Chiffon Printed Cardigan Kimono Robe Tops Beach Cover up Blouse (XL, Floral)",Westlake,"Clothing, Shoes & Jewelry > Westlake",,OURS,,,,,,Chiffon Pull On closure,,,,,,,,,,,
